"Datum","Senaste","Öppen","Högst","Lägst","+/- %"
"2026-04-19","2,757","2,710","2,729","2,710","1,51%"
"2026-04-12","2,716","2,776","2,776","2,688","-2,13%"
"2026-04-05","2,775","2,855","2,855","2,704","-4,31%"
"2026-03-29","2,900","2,818","2,850","2,784","-1,93%"
"2026-03-22","2,957","2,765","2,907","2,765","3,25%"
"2026-03-15","2,864","2,698","2,832","2,661","4,15%"
"2026-03-08","2,750","2,676","2,731","2,652","2,00%"
"2026-03-01","2,696","2,533","2,668","2,533","6,35%"
"2026-02-22","2,535","2,583","2,583","2,503","-4,01%"
"2026-02-15","2,641","2,549","2,605","2,518","1,69%"
"2026-02-08","2,597","2,645","2,645","2,547","-3,21%"
"2026-02-01","2,683","2,721","2,723","2,651","-2,26%"
"2026-01-25","2,745","2,790","2,790","2,713","-3,17%"
"2026-01-18","2,835","2,728","2,803","2,728","1,61%"
"2026-01-11","2,790","2,762","2,775","2,740","-0,92%"
"2026-01-04","2,816","2,812","2,812","2,777","-0,21%"
"2025-12-28","2,822","2,716","2,787","2,716","1,22%"
"2025-12-21","2,788","2,810","2,810","2,756","-1,31%"
"2025-12-14","2,825","2,786","2,790","2,772","-1,09%"
"2025-12-07","2,856","2,832","2,849","2,818","0,60%"
"2025-11-30","2,839","2,777","2,811","2,776","4,07%"
"2025-11-23","2,728","2,626","2,695","2,615","2,87%"
"2025-11-16","2,652","2,661","2,665","2,624","-2,00%"
"2025-11-09","2,706","2,592","2,678","2,592","3,40%"
"2025-11-02","2,617","2,560","2,589","2,545","2,63%"
"2025-10-26","2,550","2,491","2,513","2,462","0,43%"
"2025-10-19","2,539","2,503","2,504","2,426","0,75%"
"2025-10-12","2,520","2,547","2,547","2,476","-4,33%"
"2025-10-05","2,634","2,649","2,670","2,602","-1,24%"
"2025-09-28","2,667","2,602","2,644","2,602","-0,34%"
"2025-09-21","2,676","2,615","2,648","2,615","1,87%"
"2025-09-14","2,627","2,494","2,592","2,468","4,16%"
"2025-09-07","2,522","2,421","2,494","2,421","1,61%"
"2025-08-31","2,482","2,492","2,522","2,432","-1,15%"
"2025-08-24","2,511","2,414","2,498","2,414","3,12%"
"2025-08-17","2,435","2,390","2,428","2,373","-0,33%"
"2025-08-10","2,443","2,359","2,414","2,345","1,50%"
"2025-08-03","2,407","2,362","2,378","2,341","0,50%"
"2025-07-27","2,395","2,382","2,432","2,366","-1,48%"
"2025-07-20","2,431","2,341","2,396","2,322","1,00%"
"2025-07-13","2,407","2,316","2,379","2,302","1,95%"
"2025-07-06","2,361","2,277","2,333","2,277","5,03%"
"2025-06-29","2,248","2,223","2,225","2,207","-0,97%"
"2025-06-22","2,270","2,259","2,292","2,241","2,71%"
"2025-06-15","2,210","2,316","2,332","2,210","-3,66%"
"2025-06-08","2,294","2,347","2,347","2,294","4,27%"
"2025-06-01","2,200","2,310","2,312","2,200","-4,99%"
"2025-05-25","2,316","2,372","2,372","2,316","-2,48%"
"2025-05-18","2,375","2,359","2,451","2,359","1,41%"
"2025-05-11","2,342","2,398","2,421","2,342","1,30%"
"2025-05-04","2,312","2,358","2,377","2,299","-1,66%"
"2025-04-27","2,351","2,343","2,351","2,280","1,36%"
"2025-04-20","2,319","2,313","2,345","2,313","-0,98%"
"2025-04-13","2,342","2,299","2,342","2,299","1,32%"
"2025-04-06","2,312","2,432","2,461","2,312","-4,92%"
"2025-03-30","2,431","2,634","2,660","2,403","-8,68%"
"2025-03-23","2,662","2,743","2,775","2,675","1,72%"
"2025-03-16","2,617","2,640","2,661","2,554","-0,46%"
"2025-03-09","2,629","2,563","2,677","2,527","4,47%"
"2025-03-02","2,516","2,255","2,621","2,250","14,33%"
"2025-02-23","2,201","2,318","2,339","2,196","-3,38%"
"2025-02-16","2,278","2,351","2,371","2,300","0,29%"
"2025-02-09","2,272","2,230","2,350","2,230","3,46%"
"2025-02-02","2,195","2,159","2,273","2,116","0,99%"
"2025-01-26","2,174","2,317","2,370","2,186","-6,82%"
"2025-01-19","2,333","2,313","2,380","2,256","2,93%"
"2025-01-12","2,266","2,454","2,490","2,279","-3,94%"
"2025-01-05","2,359","2,380","2,446","2,352","3,49%"
"2024-12-29","2,280","2,393","2,410","2,248","-2,29%"
"2024-12-22","2,333","2,285","2,384","2,260","6,87%"
"2024-12-15","2,184","2,145","2,280","2,120","3,98%"
"2024-12-08","2,100","2,020","2,165","1,993","5,95%"
"2024-12-01","1,982","1,903","2,082","1,852","3,69%"
"2024-11-24","1,911","2,035","2,050","1,906","-5,67%"
"2024-11-17","2,026","2,116","2,150","2,042","-2,36%"
"2024-11-10","2,076","2,151","2,165","2,070","-2,54%"
"2024-11-03","2,129","2,123","2,325","2,109","6,02%"
"2024-10-27","2,009","2,116","2,123","1,999","-1,71%"
"2024-10-20","2,043","2,040","2,175","2,040","2,82%"
"2024-10-13","1,987","2,079","2,108","1,990","-6,25%"
"2024-10-06","2,120","2,108","2,186","2,092","3,01%"
"2024-09-29","2,058","1,952","2,076","1,868","5,70%"
"2024-09-22","1,947","1,975","2,009","1,913","-1,32%"
"2024-09-15","1,973","1,873","1,995","1,841","4,23%"
"2024-09-08","1,893","1,976","2,005","1,817","-4,35%"
"2024-09-01","1,979","2,095","2,110","1,914","-3,42%"
"2024-08-25","2,049","1,950","2,056","1,930","5,89%"
"2024-08-18","1,935","1,955","1,985","1,899","-0,36%"
"2024-08-11","1,942","1,986","2,006","1,876","0,41%"
"2024-08-04","1,934","1,854","2,007","1,802","2,71%"
"2024-07-28","1,883","2,084","2,084","1,881","-9,60%"
"2024-07-21","2,083","2,076","2,125","2,024","-0,62%"
