Datum;Grupp;Serie;Värde
2022-01-03;Andra riksbanksräntor;Referensränta;0,00
2022-01-04;Andra riksbanksräntor;Referensränta;0,00
2022-01-05;Andra riksbanksräntor;Referensränta;0,00
2022-01-07;Andra riksbanksräntor;Referensränta;0,00
2022-01-10;Andra riksbanksräntor;Referensränta;0,00
2022-01-11;Andra riksbanksräntor;Referensränta;0,00
2022-01-12;Andra riksbanksräntor;Referensränta;0,00
2022-01-13;Andra riksbanksräntor;Referensränta;0,00
2022-01-14;Andra riksbanksräntor;Referensränta;0,00
2022-01-17;Andra riksbanksräntor;Referensränta;0,00
2022-01-18;Andra riksbanksräntor;Referensränta;0,00
2022-01-19;Andra riksbanksräntor;Referensränta;0,00
2022-01-20;Andra riksbanksräntor;Referensränta;0,00
2022-01-21;Andra riksbanksräntor;Referensränta;0,00
2022-01-24;Andra riksbanksräntor;Referensränta;0,00
2022-01-25;Andra riksbanksräntor;Referensränta;0,00
2022-01-26;Andra riksbanksräntor;Referensränta;0,00
2022-01-27;Andra riksbanksräntor;Referensränta;0,00
2022-01-28;Andra riksbanksräntor;Referensränta;0,00
2022-01-31;Andra riksbanksräntor;Referensränta;0,00
2022-02-01;Andra riksbanksräntor;Referensränta;0,00
2022-02-02;Andra riksbanksräntor;Referensränta;0,00
2022-02-03;Andra riksbanksräntor;Referensränta;0,00
2022-02-04;Andra riksbanksräntor;Referensränta;0,00
2022-02-07;Andra riksbanksräntor;Referensränta;0,00
2022-02-08;Andra riksbanksräntor;Referensränta;0,00
2022-02-09;Andra riksbanksräntor;Referensränta;0,00
2022-02-10;Andra riksbanksräntor;Referensränta;0,00
2022-02-11;Andra riksbanksräntor;Referensränta;0,00
2022-02-14;Andra riksbanksräntor;Referensränta;0,00
2022-02-15;Andra riksbanksräntor;Referensränta;0,00
2022-02-16;Andra riksbanksräntor;Referensränta;0,00
2022-02-17;Andra riksbanksräntor;Referensränta;0,00
2022-02-18;Andra riksbanksräntor;Referensränta;0,00
2022-02-21;Andra riksbanksräntor;Referensränta;0,00
2022-02-22;Andra riksbanksräntor;Referensränta;0,00
2022-02-23;Andra riksbanksräntor;Referensränta;0,00
2022-02-24;Andra riksbanksräntor;Referensränta;0,00
2022-02-25;Andra riksbanksräntor;Referensränta;0,00
2022-02-28;Andra riksbanksräntor;Referensränta;0,00
2022-03-01;Andra riksbanksräntor;Referensränta;0,00
2022-03-02;Andra riksbanksräntor;Referensränta;0,00
2022-03-03;Andra riksbanksräntor;Referensränta;0,00
2022-03-04;Andra riksbanksräntor;Referensränta;0,00
2022-03-07;Andra riksbanksräntor;Referensränta;0,00
2022-03-08;Andra riksbanksräntor;Referensränta;0,00
2022-03-09;Andra riksbanksräntor;Referensränta;0,00
2022-03-10;Andra riksbanksräntor;Referensränta;0,00
2022-03-11;Andra riksbanksräntor;Referensränta;0,00
2022-03-14;Andra riksbanksräntor;Referensränta;0,00
2022-03-15;Andra riksbanksräntor;Referensränta;0,00
2022-03-16;Andra riksbanksräntor;Referensränta;0,00
2022-03-17;Andra riksbanksräntor;Referensränta;0,00
2022-03-18;Andra riksbanksräntor;Referensränta;0,00
2022-03-21;Andra riksbanksräntor;Referensränta;0,00
2022-03-22;Andra riksbanksräntor;Referensränta;0,00
2022-03-23;Andra riksbanksräntor;Referensränta;0,00
2022-03-24;Andra riksbanksräntor;Referensränta;0,00
2022-03-25;Andra riksbanksräntor;Referensränta;0,00
2022-03-28;Andra riksbanksräntor;Referensränta;0,00
